e2e time (s),BFS,guided traversal,PPR,CoT,top-k shortest path,top-k constrained shorest path,selected,overhead,TAG
single_entity_abstract,"7.82/6,885",N/A,"64.79/61,330","44.34/36,018",N/A,N/A,"7.82/6,885",0.83/521,"8.65/7,406"
single_entity_concrete,"5.36/7,040","11.59/1,357","59.77/41,113","50.58/54,298",N/A,N/A,"11.59/1,357",0.80/528,"12.39/1,885"
multi_entity_abstract,"7.84/17,523",N/A,"58.73/45,560","52.06/54,464","6.32/1,428","12.85/1,204","6.32/1,428",0.82/543,"7.14/1,971"
multi_entity_concrete,"16.2/40,325",N/A,"59.74/39,660","83.24/239,014",6.17/840,"16.7/1,980","16.70/1,980",0.79/537,"17.49/2,517"
