e2e time (s),BFS,guided traversal,PPR,CoT,top-k shortest path,top-k constrained shorest path,selected,overhead,TAG
single_entity_abstract,"9.06/4,209",N/A,"19.89/25,427","50.5/43,983",N/A,N/A,"9.06/4,209",0.80/514,"9.86/4,723"
single_entity_concrete,"4.73/1,682","13.05/1,517","18.39/28,706","56.66/68,211",N/A,N/A,"13.05/1,517",0.83/520,"13.88/2,037"
multi_entity_abstract,"8.63/13,277",N/A,"17.54/28,853","49.21/43,498","6.43/1,021","13.52/1,225","6.43/1,021",0.81/527,"7.24/1,548"
multi_entity_concrete,"29.32/58,673",N/A,"19.5/38,960","108.01/448,029",6.48/607,"16.31/1,733","16.31/1,733",0.79/536,"17.10/2,269"
