e2e time (s),BFS,guided traversal,PPR,CoT,top-k shortest path,top-k constrained shorest path,selected,overhead,TAG
single_entity_abstract,"10.25/8,412",N/A,"32.84/73,041","41.67/30,767",N/A,N/A,"10.25/8,412",0.76/519,"11.01/8,931"
single_entity_concrete,"5.13/7,789","11.33/1,127","28.18/64,816","44.14/42,352",N/A,N/A,"11.33/1,127",0.78/524,"12.11/1,651"
multi_entity_abstract,"7.6/13,352",N/A,"28.78/72,218","57.11/48,929","25.5/1,107","16.21/1,346","25.50/1,107",0.81/533,"26.31/1,640"
multi_entity_concrete,"77.84/44,637",N/A,"27.42/55,738","72.14/164,723",9.89/661,"19.46/1,873","19.46/1,873",0.78/533,"20.24/2,406"
